#year	doy	hr	Fe1p2	Fe130
1991	14	23	0.56585	3.9366
1991	15	0	0.56585	3.9276
1991	15	1	0.53148	3.8780
1991	15	2	0.53148	3.9211
1991	15	3	0.56585	3.9516
1991	15	4	0.65610	3.9304
1991	15	5	0.59770	3.9982
1991	15	6	0.62839	4.0195
1991	15	7	0.53148	3.9540
1991	15	8	0.35603	3.7702
1991	15	9	0.56585	4.0375
1991	15	10	0.40654	4.1274
1991	15	11	0.53148	4.1153
1991	15	12	0.45179	4.0310
1991	15	13	0.53148	3.9406
1991	15	14	0.53148	4.0328
1991	15	15	0.56585	4.0343
1991	15	16	0.59770	4.0230
1991	15	17	0.65610	4.0559
1991	15	18	0.68215	4.0236
1991	15	19	0.59770	4.0706
1991	15	20	0.56585	4.1977
1991	15	21	0.53148	3.8401
1991	15	22	0.45179	4.0844
1991	15	23	0.49415	4.0250
1991	16	0	0.49415	4.1546
1991	16	1	0.49415	4.1262
1991	16	2	0.53148	4.1023
1991	16	3	0.45179	4.1021
1991	16	4	0.45179	4.0979
1991	16	5	0.40654	4.0917
1991	16	6	0.38202	4.1341
1991	16	7	0.29667	4.1179
1991	16	8	0.29667	3.9999
1991	16	9	0.23045	3.9489
1991	16	10	0.29667	3.8797
1991	16	11	0.40654	4.2762
1991	16	12	0.40654	4.2596
1991	16	13	0.45179	4.1133
1991	16	14	0.40654	4.1139
1991	16	15	0.49415	4.1812
1991	16	16	0.54900	4.1309
1991	16	17	0.56585	4.1456
1991	16	18	0.68215	4.2056
1991	16	19	0.68215	4.2054
1991	16	20	0.70757	4.1612
1991	16	21	0.68215	4.2087
1991	16	22	0.75282	4.1575
1991	16	23	0.77452	4.1640
1991	17	0	0.79449	4.2519
1991	17	1	0.79449	4.1649
1991	17	2	0.83251	4.2167
1991	17	3	0.86688	4.2082
1991	17	4	0.92169	4.1787
1991	17	5	0.89927	4.1593
1991	17	6	0.83251	4.1251
1991	17	7	0.79449	4.0612
1991	17	8	0.75282	4.0543
1991	17	9	0.68215	4.0447
1991	17	10	0.56585	3.8574
1991	17	11	0.35603	3.6522
1991	17	12	0.59770	4.8369
1991	17	13	0.65610	4.4881
1991	17	14	0.68215	4.4111
1991	17	15	0.68215	4.6746
1991	17	16	0.89927	5.0216
1991	17	17	1.0082	4.6252
1991	17	18	1.0318	4.5431
1991	17	19	1.0648	4.4739
1991	17	20	1.0542	4.4651
1991	17	21	1.0648	4.4362
1991	17	22	1.0082	4.4098
1991	17	23	1.0318	4.4111
1991	18	0	1.1332	4.4370
1991	18	1	1.0955	4.3256
1991	18	2	1.0648	4.3020
1991	18	3	1.0082	4.2807
1991	18	4	0.97081	4.2558
1991	18	5	0.89154	4.2188
1991	18	6	0.94349	4.2386
1991	18	7	0.91434	4.1684
1991	18	8	0.94349	4.1500
1991	18	9	0.98363	4.1450
1991	18	10	1.0082	4.1305
1991	18	11	1.0082	4.1251
1991	18	12	0.99607	4.1027
1991	18	13	0.98363	4.0993
1991	18	14	1.0856	4.5752
1991	18	15	1.1764	4.3548
1991	18	16	1.1596	4.4666
1991	18	17	1.1149	4.9973
1991	18	18	1.1242	4.4377
1991	18	19	1.0204	4.1923
1991	18	20	0.92169	4.3007
1991	18	21	0.92942	4.6808
1991	18	22	0.89154	4.6304
1991	18	23	0.95713	4.6758
1991	19	0	0.94349	4.4900
1991	19	1	0.91434	4.4301
1991	19	2	0.86688	4.3863
1991	19	3	0.83251	4.3664
1991	19	4	0.77452	4.3790
1991	19	5	0.75282	4.3627
1991	19	6	0.70757	4.3362
1991	19	7	0.68215	4.3277
1991	19	8	0.68215	4.3230
1991	19	9	0.65610	4.3027
1991	19	10	0.66932	4.2262
1991	19	11	0.68215	4.2869
1991	19	12	0.65610	4.2809
